Country,Province,City,Temperature,Feels_Like,Min_Temp,Max_Temp,Humidity,Pressure,Wind_Speed,Cloudiness,Description,Longitude,Latitude,Sunrise,Sunset,Error
Pakistan,Punjab,Sheikhupura,32.03,33.08,32.03,32.03,44.0,1001.0,2.86,0.0,Clear sky,73.9783,31.7131,05:48 AM,06:10 PM,
Pakistan,Punjab,Jhang,29.23,31.43,29.23,29.23,60.0,1003.0,1.21,0.0,Clear sky,72.6963,33.6748,05:52 AM,06:16 PM,
Pakistan,Punjab,Kasur,32.06,32.74,32.06,32.06,42.0,1001.0,2.36,0.0,Clear sky,74.4467,31.1156,05:46 AM,06:08 PM,
Pakistan,Punjab,Okara,31.14,30.42,31.14,31.14,35.0,1001.0,2.24,0.0,Clear sky,73.4458,30.8081,05:50 AM,06:12 PM,
Pakistan,Punjab,Sahiwal,31.65,31.17,31.65,31.65,36.0,1001.0,0.9,0.0,Clear sky,73.1,30.6667,05:52 AM,06:13 PM,
Pakistan,Punjab,Dera Ghazi Khan,34.86,34.47,34.86,34.86,30.0,1001.0,3.61,9.0,Clear sky,70.6348,30.0561,06:02 AM,06:23 PM,
Pakistan,Punjab,Toba Tek Singh,32.8,32.36,32.8,32.8,34.0,1001.0,2.59,0.0,Clear sky,72.4827,30.9743,05:54 AM,06:16 PM,
Pakistan,Punjab,Chiniot,33.26,31.91,33.26,33.26,27.0,1001.0,2.69,0.0,Clear sky,72.9789,31.72,05:52 AM,06:14 PM,
Pakistan,Punjab,Narowal,30.94,35.22,30.94,30.94,62.0,1002.0,1.48,0.0,Clear sky,74.8833,32.1,05:44 AM,06:07 PM,
,,Jehlum,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Punjab,Mianwali,35.64,35.39,35.64,35.64,29.0,1000.0,2.21,2.0,Clear sky,71.5264,32.5741,05:57 AM,06:20 PM,
Pakistan,Punjab,Khushab,33.3,33.04,33.3,33.3,34.0,1001.0,1.61,6.0,Clear sky,72.3525,32.2967,05:54 AM,06:17 PM,
Pakistan,Punjab,Layyah,34.89,33.77,34.89,34.89,26.0,1000.0,2.93,1.0,Clear sky,70.939,30.9613,06:00 AM,06:22 PM,
Pakistan,Punjab,Bhakkar,35.76,35.13,35.76,35.76,27.0,1000.0,2.82,0.0,Clear sky,71.0657,31.6253,05:59 AM,06:22 PM,
Pakistan,Punjab,Hafizabad,29.11,29.93,29.11,29.11,51.0,1001.0,3.44,0.0,Clear sky,73.6854,32.0679,05:49 AM,06:11 PM,
Pakistan,Punjab,Muridke,32.01,34.38,32.01,32.01,50.0,1001.0,3.34,0.0,Clear sky,74.2617,31.8025,05:47 AM,06:09 PM,
Pakistan,Punjab,Jaranwala,31.59,30.58,31.59,31.59,32.0,1001.0,3.11,0.0,Clear sky,73.4333,31.3333,05:50 AM,06:12 PM,
Pakistan,Punjab,Pattoki,31.82,30.85,31.82,31.82,32.0,1001.0,1.82,0.0,Clear sky,73.85,31.0167,05:48 AM,06:10 PM,
Pakistan,Punjab,Arifwala,31.63,31.44,31.63,31.63,38.0,1001.0,0.61,0.0,Clear sky,73.0735,30.294,05:52 AM,06:13 PM,
Pakistan,Punjab,Burewala,31.59,31.54,31.59,31.59,39.0,1001.0,1.64,0.0,Clear sky,72.65,30.1667,05:54 AM,06:15 PM,
Pakistan,Punjab,Pakpattan,31.81,31.37,31.81,31.81,36.0,1001.0,2.03,0.0,Clear sky,73.3866,30.341,05:51 AM,06:12 PM,
Pakistan,Punjab,Kahror Pakka,32.27,31.82,32.27,32.27,35.0,1001.0,0.94,0.0,Clear sky,71.9167,29.6238,05:57 AM,06:18 PM,
Pakistan,Punjab,Kot Addu,34.32,33.72,34.32,34.32,30.0,1000.0,1.96,0.0,Clear sky,70.9671,30.4692,06:00 AM,06:22 PM,
Pakistan,Punjab,Depalpur,25.22,26.17,25.22,25.22,91.0,1007.0,3.43,8.0,Clear sky,75.55,22.85,05:44 AM,06:01 PM,
Pakistan,Punjab,Samundri,32.5,31.81,32.5,32.5,33.0,1001.0,2.43,0.0,Clear sky,72.9588,31.0651,05:52 AM,06:14 PM,
,,Jalalpur Bhattian,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Punjab,Khanewal,31.63,32.1,31.63,31.63,42.0,1001.0,3.5,9.0,Clear sky,71.9333,30.3,05:56 AM,06:18 PM,
Pakistan,Punjab,Shorkot,36.13,35.65,36.13,36.13,27.0,1000.0,2.39,0.0,Clear sky,70.8774,31.9099,06:00 AM,06:23 PM,
Pakistan,Khyber Pakhtunkhwa,Peshawar,31.08,32.36,31.08,31.08,48.0,1002.0,2.06,65.0,Haze,71.5785,34.008,05:57 AM,06:20 PM,
Pakistan,Khyber Pakhtunkhwa,Mardan,27.96,28.4,27.96,27.96,50.0,1002.0,2.17,10.0,Clear sky,72.0525,34.2019,05:55 AM,06:19 PM,
Pakistan,Khyber Pakhtunkhwa,Kohat,30.04,29.98,30.04,30.04,42.0,1002.0,2.17,8.0,Clear sky,71.4493,33.582,05:57 AM,06:21 PM,
